Nombre base de datos,nombre_tabla,id,nombre_campo,tipo_dato,atributo,tabla_origen,campo_origen,campo_anidado,estado
precarga_anualmorales,concepto_0101,101,Ejercicio,smallint,Ejercicio del contribuyente,silver_satcontribuyentedecla,ejercicio,sat_contribuyente_decla,ORIGINAL
precarga_anualmorales,concepto_0101,101,IdentificadorDeclaracion,string,Identificador declaración,silver_satcontribuyentedecla,idDeclaracion,sat_contribuyente_decla,ORIGINAL
precarga_anualmorales,concepto_0101,101,IdEstatusPago,string,Estatus de pago,NULL,NULL,NULL,ORIGINAL
precarga_anualmorales,concepto_0101,101,NumeroOperacion,bigint,Numero operación,silver_satcontribuyentedecla,numeroOperacion,sat_contribuyente_decla,ORIGINAL
precarga_anualmorales,concepto_0101,101,RFC,string,RFC del contribuyente,silver_satcontribuyentedecla,rfcDeclarante,sat_contribuyente_decla,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0203000,"decimal(14,0)",Anticipos de clientes de ejercicios anteriores,silver_amingcaratula,ingNominalEjercicio,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0204000,"decimal(14,0)",Anticipos de clientes de ejercicios anteriores,silver_amingcaratula,antiCliEjerAnt,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0204002,"decimal(14,0)",Ajuste anual por inflación,silver_amingcaratula,ingDisminuir,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0206000,"decimal(14,0)",Ingresos no manifestados anteriormente,silver_amingdetalleajusteinflac,ajusAnuInflaDedu,am_ing_detalle_ajuste_inflac,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0207000,"decimal(14,0)",Ingresos que solo se acumulan en la declaración anual,silver_amingcaratula,ingNoManifAnte,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0207004,"decimal(14,0)",Ingresos percibidos en el extranjero,silver_amingcaratula,ingAcumDecAnual,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0212000,"decimal(14,0)",Total de ingresos acumulables,silver_amingcaratula,ingPercibExtran,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0213000,"decimal(14,0)",Ingresos nominales,silver_amingcaratula,totalIngAcum,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0214501,"decimal(14,0)",Ingresos exentos o no acumulables (INGEX00),silver_amingcaratula,totalIngExentosAcum,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0230012,"decimal(14,0)",Ingresos del extranjero por dividendos distribuidos / RFN (ING29G),silver_amingcaratula,IngExtranDivDist,am_ing_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0302000,"decimal(14,0)",Gastos,silver_amdeduccaratula,gastos,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0305013,"decimal(14,0)",Total de nómina a deducir,silver_amdeducnominadeducir,totalNominaDeduc,am_deduc_nomina_deducir,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0307000,"decimal(14,0)","Sueldos, salarios y asimilados",silver_amdeduccaratula,sueldoSalarAsim,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0309000,"decimal(14,0)",Deducciones relacionadas con la nómina,silver_amdeduccaratula,deducRelacNominaDet,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0311000,"decimal(14,0)",Inversiones,silver_amdeduccaratula,inversiones,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0312024,"decimal(14,0)",Deducción de inversiones  (INVA),silver_addeduccostovendido,deducInversiones,ad_deduc_costo_vendido,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0313000,"decimal(14,0)",Costo de lo vendido,silver_amdeduccaratula,costoVendido,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0314000,"decimal(14,0)",Ajuste anual por inflación deducible,silver_amingdetalleajusteinflac,ajusAnuInflaDedu,am_ing_detalle_ajuste_inflac,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0318000,"decimal(14,0)",Estímulos por disminuir,silver_amdeduccaratula,estimDisminuir,am_deduc_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0319000,"decimal(14,0)",Total de deducciones autorizadas,silver_amdetercaratula,totalDeducAutoriza,am_deter_caratula,ORIGINAL
precarga_anualmorales,concepto_0101,101,SAT_0330008,"decimal(14,0)",Subsidio disponible para su aplicación,silver_amsubsidioempleo,subsiDispoAplica,am_subsidio_empleo,ORIGINAL
